Cluster 1
Mean of cluster
459.273,166.6
Cluster data
113,93
377,129
292,291
163,251
202,182
109,127
809,207
335,16
61,4
832,123
32,107
231,325
506,368
619,146
277,39
262,27
213,95
920,104
786,231
674,38
900,208
537,488
495,214
877,210
243,230
207,252
744,188
54,63
891,14
304,294
435,362
911,57
509,124
52,117
636,52
854,151
49,123
264,174
614,29
165,90
677,217
681,296
604,83
7,149
546,298
763,134
336,64
273,50
884,96
703,129
271,343
427,178
225,338
619,257
690,188

Cluster 2
Mean of cluster
281.327,710.873
Cluster data
30,716
488,688
298,504
359,459
246,825
362,976
135,967
65,965
267,850
135,696
316,780
508,997
354,561
401,971
393,805
29,727
140,455
6,643
484,930
235,519
315,865
160,950
424,731
173,570
176,776
91,763
181,622
318,745
24,761
401,710
145,639
245,548
183,451
368,572
505,924
13,345
403,520
531,978
226,618
528,660
395,562
441,906
210,571
529,820
218,421
173,548
352,706
377,568
399,751
179,652
483,613
208,883
150,937
509,924
189,454

Cluster 3
Mean of cluster
789.6,711.975
Cluster data
726,905
870,493
744,851
987,921
976,910
925,606
694,709
749,606
897,300
697,709
837,794
907,672
916,406
685,860
695,898
800,577
623,650
539,680
964,518
712,478
980,644
940,835
940,981
822,886
901,960
651,999
896,302
586,781
806,994
658,533
592,733
721,861
944,575
776,805
788,567
840,737
850,820
629,819
574,673
747,431

