30,716
488,688
726,905
113,93
377,129
298,504
359,459
246,825
362,976
870,493
744,851
135,967
987,921
976,910
925,606
292,291
694,709
65,965
267,850
163,251
749,606
897,300
697,709
135,696
202,182
109,127
809,207
316,780
837,794
335,16
907,672
61,4
916,406
685,860
508,997
354,561
695,898
800,577
623,650
832,123
401,971
539,680
393,805
29,727
32,107
231,325
140,455
6,643
506,368
964,518
484,930
235,519
712,478
315,865
160,950
980,644
424,731
619,146
173,570
176,776
91,763
277,39
181,622
318,745
940,835
24,761
940,981
262,27
213,95
920,104
786,231
674,38
401,710
822,886
900,208
901,960
651,999
537,488
495,214
896,302
145,639
877,210
243,230
207,252
245,548
744,188
183,451
54,63
891,14
368,572
304,294
586,781
505,924
13,345
403,520
531,978
435,362
806,994
658,533
592,733
721,861
911,57
226,618
509,124
52,117
636,52
944,575
528,660
854,151
776,805
49,123
264,174
788,567
614,29
395,562
840,737
850,820
629,819
441,906
165,90
677,217
210,571
529,820
681,296
218,421
604,83
173,548
352,706
377,568
7,149
546,298
763,134
336,64
399,751
273,50
179,652
884,96
483,613
703,129
271,343
427,178
208,883
574,673
225,338
747,431
150,937
619,257
690,188
509,924
189,454
